Account name,Customer ID,Campaign type,Campaign,Day,Currency code,Budget,Cost,Impr.,Clicks
Cherry Godfrey Group,207-885-5773,Display Only,Mortgages Jersey 2022,07/10/2024,GBP,5,5.31,"21,392",149
Cherry Godfrey Group,207-885-5773,Display Only,Guernsey LInsurance 2022,07/10/2024,GBP,2,2.07,"9,125",39
Cherry Godfrey Group,207-885-5773,Display Only,IOW Mortgages,07/10/2024,GBP,2,1.93,"8,273",33
Cherry Godfrey Group,207-885-5773,Display Only,IOW Life Insurance,07/10/2024,GBP,2,2.2,"10,985",28
Cherry Godfrey Group,207-885-5773,Display Only,[D] Jsy - PLoans,07/10/2024,GBP,5,4.83,"23,490",81
Cherry Godfrey Group,207-885-5773,Display Only,[D] GSY - PLoans,07/10/2024,GBP,5,5.18,"34,502",64
Cherry Godfrey Group,207-885-5773,Display Only,[D] IOM - PLoans,07/10/2024,GBP,5,4.94,"27,546",133
Cherry Godfrey Group,207-885-5773,Display Only,[D] IOW - PLoans,07/10/2024,GBP,5,5.97,"24,789",101
Promensil,513-166-8734,Search Only,PCM - Search - Promensil - Consideration - 24-25,07/10/2024,GBP,16.12,19.99,837,61
Lynwood,901-619-3253,Search Only,PCM - Search - Lynwood Rentals - Brand,13/10/2024,GBP,22.63,1.69,22,5
Lynwood,901-619-3253,Search Only,PCM - Search - Lynwood Rentals - Brand,12/10/2024,GBP,22.63,3.67,36,4
Lynwood,901-619-3253,Search Only,PCM - Search - Lynwood Rentals - Brand,11/10/2024,GBP,22.63,20.13,176,12
Lynwood,901-619-3253,Search Only,PCM - Search - Lynwood Rentals - Brand,10/10/2024,GBP,22.63,25.99,136,8
Lynwood,901-619-3253,Search Only,PCM - Search - Lynwood Rentals - Brand,09/10/2024,GBP,22.63,31.35,191,16
Lynwood,901-619-3253,Search Only,PCM - Search - Lynwood Rentals - Brand,08/10/2024,GBP,22.63,34.82,113,15
Lynwood,901-619-3253,Search Only,PCM - Search - Lynwood Rentals - Brand,07/10/2024,GBP,22.63,44.64,171,16
